@RELATION toneClassifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {1,2,3,4}

@DATA
0.011825,0.082163,2.903805,0.094453,0.182654,0.035298,0.028850,0.015507,-26.555449,3.216886,0.401125,0.393545,0.139840,-0.175724,-0.119460,-0.118650,-0.121629,-0.123904,-0.118253,-0.020584,-0.080076,0.001170,0.030850,0.000547,0.033210,0.001323,0.003107,0.000334,0.014451,0.000568,0.047933,0.129010,0.000376,0.046557,0.004056,0.054704,0.477191,0.021673,0.027006,0.047802,0.026259,0.006509,1.063200,0.326534,0.433576,0.344547,0.285176,0.189436,0.208194,0.198018,0.290033,0.211122,0.151689,0.157519,0.153351,0.001762,0.026730,0.000558,0.028693,0.002562,0.003268,0.000561,0.013106,0.000674,0.031029,0.071719,0.000640,0.011727,1
0.013656,0.078529,3.189726,0.095907,0.179929,0.042161,0.006632,0.020005,-26.201553,3.294090,-0.109425,0.211724,0.521252,0.064162,0.212416,0.192830,0.015022,-0.180224,-0.168416,-0.144152,-0.085304,0.000944,0.006152,0.017867,0.033916,0.001668,0.002832,0.000717,0.035469,0.002126,0.007144,0.139923,0.002196,0.042929,0.005102,0.044828,0.245042,0.028461,0.035359,0.045662,0.004450,0.007017,1.582100,0.543183,0.606030,0.444467,0.275364,0.261335,0.186963,0.270855,0.113948,0.244174,0.200385,0.146245,0.212153,0.000492,0.004354,0.013271,0.025765,0.001393,0.002374,0.000774,0.024347,0.002545,0.003120,0.024296,0.002272,0.004027,1
0.014590,0.073026,3.155464,0.090781,0.168060,0.050321,0.007403,0.018528,-25.454046,3.324434,-0.098496,0.516427,0.289663,-0.144308,0.455878,0.365559,-0.305904,0.130055,-0.093576,-0.219377,-0.256596,0.001306,0.020943,0.036862,0.019030,0.001518,0.004035,0.003022,0.045705,0.000471,0.002167,0.115542,0.000164,0.039851,0.002968,0.031410,0.130857,0.035060,0.046740,0.023273,0.003313,0.004807,1.406738,0.539814,0.244176,0.347509,0.348441,0.263081,0.177990,0.187581,0.248315,0.215824,0.152163,0.188611,0.133489,0.001121,0.021680,0.022599,0.010478,0.001063,0.003324,0.001804,0.010439,0.000288,0.001580,0.026004,0.000117,0.004998,1
0.012933,0.073105,3.054471,0.100951,0.181492,0.088297,0.014496,0.016256,-27.351581,2.891561,0.772603,-0.144844,-0.062205,0.195904,0.002003,0.163774,0.037812,0.159373,0.116643,-0.049076,-0.008990,0.030251,0.004470,0.001060,0.123193,0.009153,0.024513,0.000725,0.117276,0.003436,0.002336,0.014076,0.000241,0.066397,0.006069,0.033684,0.277981,0.019407,0.020947,0.058733,0.016235,0.006095,2.445818,0.456861,0.485105,0.336569,0.194745,0.362033,0.201872,0.159983,0.213195,0.220258,0.164706,0.122049,0.094428,0.023111,0.004376,0.001350,0.158601,0.013673,0.010849,0.001098,0.065671,0.006533,0.002398,0.009584,0.000300,0.035900,1
0.020123,0.048549,2.928397,0.074545,0.146933,0.039996,0.009913,0.030124,-26.769809,3.478190,-0.067335,0.537074,-0.188611,-0.146172,0.228562,0.037341,-0.193908,0.150220,-0.001165,-0.049275,-0.023506,0.002288,0.037798,0.004450,0.029255,0.005046,0.005565,0.001169,0.011577,0.005129,0.022947,0.102007,0.005580,0.031219,0.006089,0.028872,0.385086,0.026041,0.046014,0.026211,0.004175,0.007485,2.179366,0.835594,0.622279,0.302308,0.557825,0.254999,0.232530,0.346890,0.293324,0.144341,0.237109,0.210441,0.232076,0.001472,0.005823,0.005972,0.014550,0.006360,0.006222,0.001277,0.005931,0.004792,0.018999,0.037999,0.010275,0.009177,1
0.087617,0.091950,3.199075,0.154986,0.197785,0.474472,0.011561,0.129737,-26.929975,2.422257,0.625269,0.488253,0.101819,0.232380,0.171430,0.071113,0.055387,-0.055858,-0.116848,-0.090241,-0.118931,0.000651,0.006033,0.005617,0.052108,0.001692,0.001854,0.000592,0.017179,0.000578,0.003528,0.154949,0.000741,0.053656,0.109419,0.085881,0.196093,0.098866,0.041869,0.607967,0.013503,0.164691,3.622222,1.045450,0.400308,0.216404,0.198461,0.257520,0.226833,0.209025,0.253256,0.179875,0.196438,0.201192,0.174850,0.000374,0.005487,0.007678,0.097826,0.002985,0.002003,0.000557,0.011639,0.000537,0.002860,0.052582,0.000595,0.025099,1
0.044841,0.076457,3.205141,0.123750,0.190410,0.293463,0.009117,0.072595,-25.859928,2.949244,0.484959,0.422505,0.307613,0.006982,0.076046,0.180487,-0.023867,-0.054367,-0.056673,-0.127384,-0.092622,0.000970,0.007476,0.012528,0.018673,0.002282,0.002075,0.000421,0.035475,0.000420,0.005781,0.148496,0.001362,0.043361,0.071432,0.050400,0.161054,0.077703,0.044084,0.548736,0.009611,0.123511,2.811045,1.055364,0.399893,0.262760,0.242628,0.180665,0.141105,0.204234,0.163141,0.197790,0.150541,0.134827,0.164946,0.000735,0.003561,0.012860,0.012768,0.001979,0.001422,0.000321,0.024205,0.000599,0.004524,0.034692,0.001104,0.007619,1
0.047054,0.034559,3.200629,0.127822,0.189104,0.281526,0.006705,0.076459,-27.059621,3.063676,-0.162290,0.076908,0.500813,0.114030,0.086504,0.251089,0.279679,0.046404,-0.158906,-0.137519,-0.255382,0.002729,0.023211,0.022957,0.026612,0.000803,0.002253,0.005091,0.050892,0.000600,0.002617,0.101731,0.000762,0.037032,0.074639,0.039482,0.117721,0.080626,0.043560,0.510380,0.006473,0.120627,2.385761,1.158493,0.237636,0.267493,0.296043,0.183177,0.176934,0.206783,0.160674,0.196848,0.158932,0.129466,0.166793,0.001498,0.015648,0.023072,0.026027,0.000452,0.001471,0.004266,0.018969,0.000504,0.004348,0.017786,0.000678,0.004087,1
0.046590,0.055736,3.174722,0.108100,0.163561,0.333671,0.010136,0.082203,-27.536784,3.418294,-0.166260,-0.430790,-0.183843,0.163286,0.250061,0.149774,0.035599,0.040864,-0.027426,0.074572,-0.023669,0.001735,0.009024,0.011397,0.047444,0.003111,0.002613,0.001405,0.008299,0.002547,0.047320,0.097145,0.001776,0.035888,0.052910,0.049450,0.262061,0.072458,0.054932,0.505526,0.011535,0.097103,2.306621,1.440730,0.410275,0.618895,0.273694,0.160971,0.261050,0.270976,0.258528,0.296419,0.230134,0.129876,0.173008,0.001169,0.012684,0.012023,0.017143,0.002688,0.002426,0.001436,0.007073,0.002291,0.039088,0.030771,0.001253,0.006657,1
0.021640,0.033445,3.039261,0.102765,0.174509,0.085706,0.004774,0.043027,-24.696789,2.351356,-0.537964,1.020295,0.363287,0.176289,0.339611,0.035334,-0.150021,0.181519,-0.226279,-0.096599,0.144256,0.005637,0.016287,0.002531,0.018312,0.001824,0.019144,0.003576,0.073214,0.001937,0.006031,0.072344,0.000803,0.030008,0.011851,0.024348,0.270827,0.014730,0.021936,0.046471,0.002596,0.012520,1.103903,0.257851,0.212781,0.311202,0.357503,0.172012,0.182144,0.130876,0.238124,0.199436,0.175673,0.130503,0.133821,0.002859,0.006845,0.002332,0.007426,0.002486,0.010653,0.003314,0.020879,0.001824,0.003649,0.005914,0.000509,0.002863,1
