@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {1,2,3,4}

@DATA
0.016788,0.104893,3.188718,0.078894,0.155115,0.047110,0.011582,0.027223,-23.951903,3.702756,-0.153659,-0.375879,0.650249,-0.104485,0.240516,0.289334,0.298551,-0.064236,-0.118885,-0.005538,-0.202851,0.014224,0.017219,0.006923,0.003310,0.025601,0.007351,0.061627,0.000846,0.001403,0.055405,0.009664,0.004219,0.027008,0.006975,0.082989,0.224219,0.020336,0.040548,0.026785,0.014392,0.011520,2.293098,0.399083,0.463519,0.609433,0.472593,0.317514,0.242341,0.235674,0.318262,0.239480,0.198824,0.162532,0.192938,0.027452,0.015185,0.003180,0.003421,0.042630,0.011066,0.017835,0.000749,0.000916,0.041563,0.010721,0.006603,0.008401,1
0.074118,0.056244,3.209695,0.125161,0.142987,0.478695,0.009998,0.112458,-24.728332,1.546274,-0.520550,0.490961,0.146664,-0.078275,0.074812,0.014522,-0.095267,0.201588,-0.138791,0.050806,-0.011307,0.004120,0.000931,0.003570,0.007883,0.004548,0.004342,0.005813,0.003615,0.010245,0.043874,0.019385,0.007334,0.013684,0.090228,0.066959,0.113771,0.088416,0.043605,0.793185,0.012177,0.124454,3.085064,1.149164,1.002603,0.808024,0.427142,0.451007,0.240358,0.238144,0.220065,0.314775,0.293029,0.212697,0.213099,0.002655,0.000694,0.002684,0.006837,0.006328,0.004771,0.004219,0.005207,0.016164,0.038628,0.023865,0.010945,0.011171,1
0.066297,0.119090,3.149574,0.131219,0.154263,0.493237,0.007854,0.098217,-24.656005,1.627958,0.508412,-0.379990,-0.344213,0.368307,0.038191,0.365493,0.127128,0.087095,-0.139687,-0.019582,-0.128967,0.003001,0.001072,0.021411,0.002399,0.003515,0.001129,0.009049,0.002664,0.011480,0.126350,0.006773,0.001348,0.035698,0.082821,0.106804,0.322375,0.074968,0.032007,0.722125,0.006427,0.134562,2.780018,1.197833,0.541106,0.680795,0.408496,0.427752,0.214749,0.216055,0.195508,0.221102,0.251061,0.141640,0.216706,0.006815,0.001265,0.025092,0.002540,0.004546,0.001511,0.014193,0.003142,0.015710,0.084101,0.011185,0.002061,0.022524,1
0.032305,0.095343,3.216948,0.096322,0.141484,0.154540,0.018777,0.053418,-23.250368,1.324914,-0.753568,0.013652,-0.032825,-0.401618,0.138995,-0.384753,-0.067570,-0.358019,-0.499883,-0.367224,-0.251122,0.012740,0.004822,0.024840,0.025060,0.051114,0.018326,0.007988,0.003656,0.006511,0.001510,0.001942,0.020548,0.028013,0.012247,0.056613,0.211219,0.017514,0.038545,0.130246,0.017162,0.027796,2.399799,1.211501,1.127170,0.968335,0.239389,0.361717,0.380865,0.300766,0.452650,0.347817,0.285760,0.275039,0.379335,0.009013,0.009486,0.043789,0.029734,0.090493,0.040745,0.008739,0.008188,0.008394,0.001787,0.001066,0.025385,0.022130,2
0.059748,0.119979,3.224048,0.118318,0.158764,0.334757,0.014316,0.094708,-23.984824,2.232598,-1.206327,-0.048037,0.013809,-0.429439,0.129912,-0.184788,-0.057228,-0.123191,-0.186655,-0.412419,-0.146605,0.027036,0.004125,0.011904,0.010974,0.041427,0.007921,0.022203,0.009187,0.005022,0.004841,0.014103,0.037618,0.029855,0.093737,0.105099,0.150413,0.082886,0.035492,0.734167,0.010634,0.146530,2.393980,1.220873,0.706165,0.738071,0.490774,0.440016,0.595403,0.445719,0.388694,0.336277,0.497860,0.444373,0.488017,0.033773,0.006969,0.014241,0.012418,0.077415,0.010378,0.036233,0.021799,0.013441,0.007049,0.025382,0.055083,0.018171,2
0.017468,0.078767,3.167992,0.087904,0.156709,0.111884,0.014217,0.025030,-23.771861,2.952436,1.272224,-0.195578,0.050423,0.379884,0.118278,0.205907,0.014758,0.110918,0.132328,0.063156,0.057219,0.003592,0.012493,0.028016,0.011560,0.079717,0.010697,0.050227,0.001654,0.004695,0.022277,0.006619,0.001208,0.033070,0.009151,0.039191,0.160236,0.021707,0.028486,0.077046,0.013839,0.017111,2.091053,0.781757,0.785522,0.430435,0.293471,0.553249,0.139492,0.259190,0.147369,0.223121,0.158293,0.110672,0.176070,0.002059,0.020465,0.027106,0.014293,0.044914,0.014153,0.058633,0.004594,0.006916,0.031305,0.004187,0.001356,0.009114,2
0.032849,0.046507,2.951234,0.091930,0.156292,0.179000,0.014227,0.055172,-24.743658,3.245594,-0.353677,-0.202817,0.593992,-0.160596,0.279849,0.334024,0.133069,0.033404,0.070993,0.148583,0.063023,0.008956,0.016874,0.036524,0.020136,0.036579,0.003148,0.040231,0.002668,0.004678,0.027260,0.008316,0.012085,0.026631,0.031713,0.034248,0.409531,0.042733,0.035494,0.368695,0.010078,0.068137,2.365771,0.856929,0.972555,0.918373,0.566122,0.281506,0.312044,0.217320,0.203239,0.294589,0.238465,0.210475,0.181320,0.007216,0.022998,0.028521,0.023744,0.040151,0.004483,0.040350,0.004177,0.004485,0.047069,0.008613,0.015780,0.010301,2
0.028487,0.164367,3.125844,0.101420,0.167986,0.189913,0.022824,0.038437,-23.905036,2.648889,1.550886,0.254492,-0.262799,0.164381,-0.342790,0.191143,-0.051724,0.081616,0.075577,-0.056894,0.033865,0.006137,0.000755,0.005957,0.012658,0.059963,0.013633,0.037367,0.000445,0.006847,0.058416,0.034514,0.001994,0.037058,0.043925,0.103546,0.201496,0.045100,0.034292,0.353933,0.023976,0.083515,3.323711,1.147301,0.602386,0.323503,0.321380,0.179384,0.250252,0.100745,0.199144,0.132639,0.223348,0.140028,0.178247,0.011120,0.001078,0.003824,0.018668,0.065328,0.027893,0.040605,0.001253,0.014490,0.063760,0.039196,0.003151,0.011284,2
0.032214,0.135624,3.231458,0.104574,0.166481,0.082402,0.016890,0.051623,-22.627274,1.540585,-0.708612,0.494287,-0.445657,-0.280407,-0.132932,-0.530391,-0.073274,-0.409675,-0.550994,-0.272593,-0.320172,0.014136,0.007081,0.074303,0.010753,0.007490,0.012064,0.022072,0.005048,0.011052,0.013821,0.006008,0.005802,0.032055,0.012540,0.072665,0.159109,0.025385,0.034564,0.048075,0.024129,0.025412,2.191662,1.163317,0.689644,0.416312,0.374227,0.294809,0.305217,0.335927,0.170060,0.228572,0.300381,0.541410,0.442081,0.015892,0.007003,0.097663,0.013936,0.010115,0.030368,0.049581,0.006501,0.022592,0.022263,0.010879,0.017756,0.022694,2
0.059850,0.036991,3.017347,0.103159,0.126420,0.419844,0.011846,0.096931,-23.417878,1.875793,-1.414590,0.667276,0.546656,-0.240700,0.551566,0.124363,-0.272570,0.394522,-0.199327,-0.044787,-0.192001,0.006381,0.004799,0.011138,0.006891,0.016285,0.009283,0.020756,0.007937,0.008936,0.037800,0.011858,0.003836,0.015167,0.050739,0.021520,0.154081,0.063367,0.044326,0.723048,0.007221,0.096885,1.721037,1.151276,0.878403,0.340481,0.377091,0.198807,0.357479,0.194687,0.239413,0.217421,0.139827,0.138240,0.226326,0.004166,0.003074,0.008539,0.006411,0.015134,0.008696,0.014371,0.006537,0.009779,0.054589,0.015750,0.005584,0.012868,2
